,angry,disappointed,happy,neutral,sad,surprised
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9867.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9878.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9879.jpg,0.0,0.0,0.0,1.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9830.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9889.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9886.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9892.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9894.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9898.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9896.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9899.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9907.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9917.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9920.jpg,0.0,0.0,0.0,0.0,0.0,0.0
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9919.jpg,0.0,0.0,1.0,0.0,0.0,0.0
