,color_entropy
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9925.jpg,22.651243
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9926.jpg,21.64307
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9924.jpg,22.582619
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9927.jpg,22.0632
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9901.jpg,23.082106
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9902.jpg,22.5768
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9930.jpg,21.666578
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9929.jpg,23.284712
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9931.jpg,21.12858
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9928.jpg,22.450247
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9933.jpg,21.778889
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9935.jpg,22.539032
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9941.jpg,22.625296
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9945.jpg,22.891747
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9942.jpg,22.998117
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9936.jpg,14.3900795
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9947.jpg,21.49783
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9949.jpg,21.373991
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9955.jpg,21.641209
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9957.jpg,23.15445
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9960.jpg,23.055092
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9962.jpg,21.17829
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9958.jpg,20.349007
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9963.jpg,21.17829
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9965.jpg,21.476381
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9966.jpg,23.242535
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9970.jpg,23.510838
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9969.jpg,22.020374
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9984.jpg,23.232193
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9979.jpg,23.211315
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9980.jpg,23.290646
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9983.jpg,23.631733
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9986.jpg,23.592718
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9993.jpg,17.632729
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9992.jpg,22.423061
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9995.jpg,22.400217
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9997.jpg,20.919888
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9990.jpg,23.473152
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9998.jpg,22.400217
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9994.jpg,23.473694
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10015.jpg,20.622974
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10011.jpg,22.759949
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10006.jpg,22.169197
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10007.jpg,19.533234
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10005.jpg,23.14288
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10021.jpg,22.664036
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10016.jpg,23.385817
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10020.jpg,21.625656
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10022.jpg,22.80828
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10018.jpg,22.300957
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10028.jpg,21.546116
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10027.jpg,23.245396
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10023.jpg,23.250366
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10024.jpg,22.412872
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10031.jpg,23.273438
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10034.jpg,22.628128
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10040.jpg,23.2148
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10033.jpg,22.579224
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10037.jpg,22.820602
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10039.jpg,22.507296
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10042.jpg,23.43905
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10045.jpg,21.860374
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10047.jpg,20.055052
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10044.jpg,23.206215
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10036.jpg,23.449642
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10048.jpg,23.358696
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10053.jpg,22.743809
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10054.jpg,22.743809
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10052.jpg,20.184984
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10051.jpg,18.87585
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10058.jpg,23.15365
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10055.jpg,23.186302
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10041.jpg,22.86521
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10056.jpg,20.58743
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10070.jpg,22.8487
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10072.jpg,21.709652
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10074.jpg,20.821983
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10077.jpg,18.63445
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10068.jpg,18.159508
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10078.jpg,23.077915
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10084.jpg,20.969343
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10090.jpg,22.956387
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10089.jpg,22.562172
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10094.jpg,22.288776
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10062.jpg,21.749992
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10096.jpg,23.086243
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10093.jpg,23.274483
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10097.jpg,23.477242
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10101.jpg,23.541548
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10102.jpg,20.634289
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10107.jpg,21.702606
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10086.jpg,23.372559
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10110.jpg,21.646751
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10114.jpg,20.304235
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10112.jpg,19.541044
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10117.jpg,21.791237
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10118.jpg,20.222971
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10119.jpg,22.539154
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10109.jpg,22.94786
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10122.jpg,20.514503
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10106.jpg,21.581928
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10123.jpg,21.70003
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10128.jpg,23.159487
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10126.jpg,22.583447
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10130.jpg,22.804977
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10132.jpg,22.463072
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10131.jpg,22.63668
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10145.jpg,22.257084
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10146.jpg,18.486578
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10140.jpg,23.119186
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10155.jpg,20.973335
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10152.jpg,21.1078
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10154.jpg,23.222717
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10161.jpg,22.519941
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10162.jpg,14.928427
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10160.jpg,22.304
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10167.jpg,20.79639
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10166.jpg,23.319536
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10149.jpg,23.799591
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10168.jpg,18.620594
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10170.jpg,21.922676
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10173.jpg,22.639746
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10172.jpg,22.874184
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10169.jpg,21.805813
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10178.jpg,22.541374
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10180.jpg,22.000177
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10176.jpg,23.093773
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10184.jpg,20.254824
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10186.jpg,22.43902
