,image,prediction
79,/Users/thomaslim/data/image_201509_onlyrefugee/10686.jpg,-0.8513091
80,/Users/thomaslim/data/image_201509_onlyrefugee/4968.jpg,-0.14272976
81,/Users/thomaslim/data/image_201509_onlyrefugee/9294.jpg,0.69205505
82,/Users/thomaslim/data/image_201509_onlyrefugee/6819.jpg,-1.7081022
83,/Users/thomaslim/data/image_201509_onlyrefugee/3961.jpg,2.718004
84,/Users/thomaslim/data/image_201509_onlyrefugee/8820.jpg,4.20931
85,/Users/thomaslim/data/image_201509_onlyrefugee/9280.jpg,0.8421534
86,/Users/thomaslim/data/image_201509_onlyrefugee/10692.jpg,4.8200855
87,/Users/thomaslim/data/image_201509_onlyrefugee/7285.jpg,-0.04009685
88,/Users/thomaslim/data/image_201509_onlyrefugee/5492.jpg,-2.0311015
89,/Users/thomaslim/data/image_201509_onlyrefugee/10862.jpg,-8.668481
90,/Users/thomaslim/data/image_201509_onlyrefugee/3785.jpg,-2.4212875
91,/Users/thomaslim/data/image_201509_onlyrefugee/6831.jpg,0.20122585
92,/Users/thomaslim/data/image_201509_onlyrefugee/3949.jpg,-0.6370134
93,/Users/thomaslim/data/image_201509_onlyrefugee/4940.jpg,-4.097697
94,/Users/thomaslim/data/image_201509_onlyrefugee/4798.jpg,0.09672105
95,/Users/thomaslim/data/image_201509_onlyrefugee/10876.jpg,-2.266554
96,/Users/thomaslim/data/image_201509_onlyrefugee/1838.jpg,0.3213355
97,/Users/thomaslim/data/image_201509_onlyrefugee/7291.jpg,-0.7499556
98,/Users/thomaslim/data/image_201509_onlyrefugee/374.jpg,3.777741
99,/Users/thomaslim/data/image_201509_onlyrefugee/6010.jpg,7.186847
100,/Users/thomaslim/data/image_201509_onlyrefugee/2276.jpg,-2.1221762
101,/Users/thomaslim/data/image_201509_onlyrefugee/10731.jpg,-1.0378757
102,/Users/thomaslim/data/image_201509_onlyrefugee/3168.jpg,0.64054966
103,/Users/thomaslim/data/image_201509_onlyrefugee/4607.jpg,0.38408428
104,/Users/thomaslim/data/image_201509_onlyrefugee/6776.jpg,-6.999727
105,/Users/thomaslim/data/image_201509_onlyrefugee/7468.jpg,-0.27872124
106,/Users/thomaslim/data/image_201509_onlyrefugee/6762.jpg,-1.7966039
107,/Users/thomaslim/data/image_201509_onlyrefugee/9451.jpg,0.67222947
108,/Users/thomaslim/data/image_201509_onlyrefugee/8997.jpg,-0.9157694
109,/Users/thomaslim/data/image_201509_onlyrefugee/2504.jpg,-6.060437
110,/Users/thomaslim/data/image_201509_onlyrefugee/2262.jpg,0.9616448
111,/Users/thomaslim/data/image_201509_onlyrefugee/10725.jpg,-3.9011679
112,/Users/thomaslim/data/image_201509_onlyrefugee/6004.jpg,0.14457384
113,/Users/thomaslim/data/image_201509_onlyrefugee/9337.jpg,-4.21812
114,/Users/thomaslim/data/image_201509_onlyrefugee/5525.jpg,-0.040492743
115,/Users/thomaslim/data/image_201509_onlyrefugee/7332.jpg,-82.45021
116,/Users/thomaslim/data/image_201509_onlyrefugee/9479.jpg,0.7188379
117,/Users/thomaslim/data/image_201509_onlyrefugee/6992.jpg,1.9471209
118,/Users/thomaslim/data/image_201509_onlyrefugee/8767.jpg,-0.31650487
119,/Users/thomaslim/data/image_201509_onlyrefugee/7454.jpg,-0.058248848
120,/Users/thomaslim/data/image_201509_onlyrefugee/4149.jpg,-6.0945196
121,/Users/thomaslim/data/image_201509_onlyrefugee/2538.jpg,0.77813894
122,/Users/thomaslim/data/image_201509_onlyrefugee/6986.jpg,1.0550094
123,/Users/thomaslim/data/image_201509_onlyrefugee/7440.jpg,1.1989985
124,/Users/thomaslim/data/image_201509_onlyrefugee/7326.jpg,-4.696032
125,/Users/thomaslim/data/image_201509_onlyrefugee/1757.jpg,1.9253983
126,/Users/thomaslim/data/image_201509_onlyrefugee/6038.jpg,-0.8599114
127,/Users/thomaslim/data/image_201509_onlyrefugee/5531.jpg,2.2078674
128,/Users/thomaslim/data/image_201509_onlyrefugee/10719.jpg,-0.34419087
129,/Users/thomaslim/data/image_201509_onlyrefugee/3140.jpg,2.1585157
130,/Users/thomaslim/data/image_201509_onlyrefugee/1964.jpg,-5.9206724
131,/Users/thomaslim/data/image_201509_onlyrefugee/8798.jpg,0.20229337
132,/Users/thomaslim/data/image_201509_onlyrefugee/9486.jpg,0.60504866
133,/Users/thomaslim/data/image_201509_onlyrefugee/8940.jpg,-2.6613028
134,/Users/thomaslim/data/image_201509_onlyrefugee/10094.jpg,-4.716015
135,/Users/thomaslim/data/image_201509_onlyrefugee/3801.jpg,1.4238336
