,CS,ECS,FS,LS,MS
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9832.jpg,0.03554303,0.035983056,0.11604381,0.80540633,0.0070237997
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9835.jpg,0.046622556,0.0016626954,0.13763484,0.017913079,0.7961668
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9843.jpg,0.00034059962,5.2005817e-05,0.0045058136,0.99492776,0.00017391407
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9824.jpg,0.006710404,0.98567396,0.0043715537,0.002113642,0.001130466
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9875.jpg,0.00018690794,0.0010986216,0.0041066436,1.6922231e-05,0.994591
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9867.jpg,0.029782746,0.04038439,0.34460852,0.5239457,0.061278734
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9878.jpg,0.9961578,0.0021969522,0.00011939742,0.00016209624,0.0013638117
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9879.jpg,0.97306913,0.025953704,8.988687e-05,0.00018498478,0.0007022426
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9830.jpg,0.00018967521,3.0194304e-05,0.015725499,0.9839968,5.7848607e-05
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9889.jpg,0.00024592396,7.572453e-05,0.014868842,0.98453265,0.00027686072
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9886.jpg,0.0008036286,0.0019005042,0.29694605,0.00044879736,0.69990104
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9892.jpg,0.0009033706,0.00041952322,0.76430994,0.23342559,0.00094160077
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9894.jpg,0.02492937,0.031007163,0.60084313,0.07908092,0.2641395
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9898.jpg,0.004950875,0.0124619985,0.15087944,0.002950188,0.8287575
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9896.jpg,0.027961204,0.20387886,0.06073618,0.023002386,0.68442136
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9899.jpg,0.08673526,0.88425577,0.009069102,0.008541843,0.01139805
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9907.jpg,0.04255684,0.067113794,0.041532326,0.002710248,0.8460868
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9917.jpg,0.0035681743,0.006507663,0.977657,0.0052124797,0.00705461
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9920.jpg,0.01905794,0.20174396,0.30507258,0.45495892,0.019166572
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9919.jpg,0.0031204931,0.0016019001,0.9209556,0.022138428,0.052183595
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9916.jpg,0.95417225,0.0040470217,0.0014398827,0.00042096095,0.03991986
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9921.jpg,0.0007105883,0.0003787595,0.56203085,0.0037105884,0.43316925
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9922.jpg,0.0021578695,0.001012734,0.93643165,0.015487707,0.044910092
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9923.jpg,0.010052954,0.013340653,0.5770262,0.02957897,0.37000114
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9925.jpg,0.0110647995,0.97071093,0.0034980949,0.0013426908,0.013383494
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9926.jpg,0.0033658727,0.22042546,0.061966054,0.0064391927,0.7078035
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9924.jpg,0.045736838,0.05369747,0.669522,0.15603144,0.07501223
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9927.jpg,0.014693764,0.083148204,0.11415112,0.039586596,0.7484203
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9901.jpg,0.0060549495,0.0044850344,0.457178,0.5274984,0.0047835824
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9902.jpg,0.99867505,0.00090568373,0.00014791825,0.00015528823,0.00011609053
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9930.jpg,0.046807755,0.08317016,0.12209331,0.010460821,0.7374679
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9929.jpg,0.06950152,0.04629097,0.48187107,0.04556717,0.35676923
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9931.jpg,0.057529654,0.06652738,0.047148127,0.0036978333,0.825097
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9928.jpg,0.0016108161,0.00034264277,0.7948346,0.0009226711,0.20228924
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9933.jpg,0.00043307134,0.00034991544,0.0040269145,1.4594082e-05,0.9951755
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9935.jpg,0.0001919774,0.00015335694,0.075656295,7.419508e-05,0.9239242
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9941.jpg,0.007982312,0.0066270293,0.8027743,0.006689473,0.17592686
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9945.jpg,0.006245532,0.0032347776,0.42013103,0.5609562,0.00943254
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9942.jpg,0.0025368729,0.009894481,0.72561747,0.015176659,0.2467745
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9936.jpg,0.54541,0.18671757,0.011441049,0.006710279,0.24972111
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9947.jpg,0.076824315,0.25019234,0.2342885,0.14049026,0.29820454
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9949.jpg,0.006065285,0.022120794,0.79776037,0.11982268,0.05423083
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9955.jpg,0.10051459,0.09038898,0.5452108,0.15082867,0.11305695
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9957.jpg,0.00017552961,5.18197e-05,0.97368985,0.0019426143,0.024140079
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9960.jpg,0.15947254,0.006751555,0.0010421068,0.0009664932,0.83176726
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9962.jpg,0.0028045354,0.005392303,0.54080135,0.0036351096,0.44736668
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9958.jpg,0.0054173726,0.019034902,0.24028818,0.010209148,0.72505045
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9963.jpg,0.0028045354,0.005392303,0.54080135,0.0036351096,0.44736668
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9965.jpg,0.055763036,0.036278095,0.1269909,0.0035681964,0.7773998
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9966.jpg,0.0013792276,0.0005385244,0.25801322,0.73759323,0.0024758216
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9970.jpg,0.012822069,0.011632092,0.5351934,0.42561463,0.014737823
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9969.jpg,0.9947978,0.0045687,0.00014298213,0.00016353649,0.0003269297
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9984.jpg,0.0010907089,0.00031796037,0.010749753,5.9945694e-05,0.98778164
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9979.jpg,0.365041,0.017295804,0.00017917962,4.4929846e-05,0.61743915
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9980.jpg,0.0011954749,0.0003000529,0.90456396,0.0050101546,0.0889303
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9983.jpg,0.00722281,0.0011888072,0.74321723,0.06170778,0.18666333
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9986.jpg,0.0002484466,0.000117068346,0.9161824,0.0012275223,0.08222461
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9993.jpg,0.4628486,0.5340868,0.0014936989,0.0013460423,0.00022479631
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9992.jpg,0.0009422273,0.000839814,0.30993387,0.00046457647,0.68781954
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9995.jpg,0.39611316,0.5992372,0.0026676334,0.0012256639,0.000756363
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9997.jpg,0.05266511,0.23740251,0.5043277,0.13494791,0.07065672
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9990.jpg,0.95158076,0.010729181,0.00014300294,3.9418584e-05,0.037507545
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9998.jpg,0.39611316,0.5992372,0.0026676334,0.0012256639,0.000756363
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/9994.jpg,0.05734389,0.39177862,0.03279861,0.49673334,0.021345599
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10015.jpg,0.0043332772,0.006344926,0.030087195,0.00074430666,0.9584904
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10011.jpg,0.98798776,0.01029795,7.892843e-05,3.559538e-05,0.0015997862
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10006.jpg,0.0002584434,0.00048517165,0.0015786814,0.9975139,0.00016384199
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10007.jpg,0.9841868,0.0012103539,0.00011632563,0.000106700296,0.014379854
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10005.jpg,0.1375779,0.36718413,0.24809739,0.07782562,0.16931492
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10021.jpg,0.99791914,0.00034637115,7.04032e-05,4.344101e-05,0.0016206324
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10016.jpg,0.00014324715,0.00018093806,0.53918827,0.00015754346,0.46033
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10020.jpg,0.039202616,0.1896794,0.59082174,0.027437307,0.15285894
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10022.jpg,0.99560416,0.003762751,4.7190475e-05,3.3086006e-05,0.0005527835
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10018.jpg,3.0244182e-06,7.343731e-07,0.9989895,3.1398206e-06,0.0010035136
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10028.jpg,0.013333594,0.0035372719,0.7059114,0.2737127,0.003504995
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10027.jpg,0.043383062,0.0018081797,0.005373768,0.00027371853,0.94916123
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10023.jpg,0.0057611675,0.016750434,0.4876787,0.039448403,0.4503613
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10024.jpg,0.022546345,0.03073919,0.36789992,0.009452601,0.569362
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10031.jpg,0.00038437784,0.00022745438,0.98277736,0.011820965,0.00478977
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10034.jpg,0.9553186,0.006772621,0.0008893545,0.00051391893,0.03650553
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10040.jpg,0.002465656,0.0003549253,6.607007e-05,5.273192e-06,0.99710816
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10033.jpg,0.0016113516,0.0021970547,0.86613077,0.08353502,0.04652582
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10037.jpg,0.037329026,0.04402933,0.6561499,0.2046231,0.057868566
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10039.jpg,0.114583045,0.09377658,0.55517805,0.13884817,0.097614154
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10042.jpg,0.014514827,0.029367948,0.7572644,0.053048648,0.14580426
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10045.jpg,0.11365258,0.17028658,0.019618915,0.0035985138,0.6928434
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10047.jpg,0.8840171,0.11398935,0.00061328657,0.00045623534,0.0009239686
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10044.jpg,0.00942229,0.03314914,0.65719056,0.15211916,0.14811878
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10036.jpg,0.07971981,0.0034937623,0.08140077,0.0014052438,0.83398044
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10048.jpg,0.013941181,0.004730513,0.12776531,0.002137926,0.85142505
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10053.jpg,0.1286854,0.481704,0.14585924,0.049989183,0.1937622
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10054.jpg,0.1286854,0.481704,0.14585924,0.049989183,0.1937622
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10052.jpg,1.7701628e-06,4.0144187e-06,0.99800223,7.949887e-05,0.0019124761
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10051.jpg,0.018737877,0.007035199,0.3081413,0.6583553,0.0077303615
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10058.jpg,6.248544e-05,5.6258163e-05,0.59426814,0.00026814145,0.40534496
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10055.jpg,0.000821071,0.0003594671,0.8957348,0.095014155,0.008070621
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10041.jpg,0.0032527163,0.0023725806,0.094079636,0.89908504,0.0012100432
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10056.jpg,0.064327165,0.0037492416,0.006992431,0.0027962762,0.9221348
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10070.jpg,0.00027989276,8.1879385e-05,0.030830842,3.5399196e-05,0.9687718
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10072.jpg,0.0031526573,0.0015134191,0.9307892,0.042436734,0.022107974
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10074.jpg,5.0342434e-05,7.4549025e-05,0.9881833,0.001442738,0.010249031
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10077.jpg,0.00395982,0.010755554,0.7036767,0.27110133,0.010506602
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10068.jpg,0.11736452,0.4507795,0.09812727,0.0060011004,0.32772768
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10078.jpg,0.001201538,0.0007762682,0.17220564,0.82377374,0.0020427918
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10084.jpg,0.0012217299,0.00033068776,0.036448337,0.9600372,0.0019620995
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10090.jpg,0.032777686,0.2523463,0.27877006,0.013248865,0.42285714
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10089.jpg,0.067407325,0.18538316,0.5012648,0.028857827,0.21708685
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10094.jpg,0.99775,0.001984678,3.682564e-05,1.820326e-05,0.00021025073
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10062.jpg,0.9999659,1.1990363e-05,1.1614106e-06,1.1051893e-06,1.9822173e-05
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10096.jpg,0.026729403,0.3013637,0.1830722,0.081789844,0.4070448
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10093.jpg,0.0036528425,0.0027350632,0.022890994,0.9694335,0.0012875607
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10097.jpg,0.0059566963,0.006117384,0.71364063,0.0044745496,0.26981068
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10101.jpg,0.0052816863,0.001996895,0.0062291697,0.00032084994,0.9861714
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10102.jpg,0.9994307,0.0004935596,2.0561964e-05,1.2042167e-05,4.298473e-05
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10107.jpg,0.99741346,0.0017070224,6.0606584e-05,2.9240427e-05,0.00078960083
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10086.jpg,0.00023718346,0.00022873012,0.9906495,0.0012165909,0.0076679178
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10110.jpg,0.01148379,0.004139731,0.017709399,0.0005249653,0.9661421
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10114.jpg,0.99884903,0.0006500276,5.0413295e-05,2.1312952e-05,0.00042930487
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10112.jpg,0.9987739,0.0007207436,2.4320252e-05,1.013637e-05,0.00047091037
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10117.jpg,2.3934625e-05,4.5388286e-05,0.0001270352,9.945436e-07,0.99980265
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10118.jpg,0.8785925,0.116556555,0.000495538,0.00032480698,0.004030588
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10119.jpg,0.010313899,0.0066742413,0.29859793,0.66823906,0.016174875
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10109.jpg,4.283841e-05,6.8028654e-05,0.6985883,5.5410008e-05,0.3012454
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10122.jpg,0.9930861,0.0038754412,9.32684e-05,2.3688377e-05,0.002921478
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10106.jpg,0.0014329237,0.00016922494,0.025739716,0.00016432263,0.9724938
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10123.jpg,0.96956325,0.027780464,0.0009114486,0.0010895531,0.0006552186
/content/drive/Othercomputers/My MacBook Pro/data/image_201509_onlyrefugee/10128.jpg,0.00046375685,0.013127226,0.0010558333,7.5700773e-06,0.9853456
